"title","Application déployée","Phase d'avancement","Statut","date Kick-off Interne","Code groupe DISE","Portail existant","date modelisation","date set up EWOCS/YODA","date set up MWM","date set up FUM par CDP","Renouvellement","date Formation Accès Interne","date Pilote Usage Interne","date Kick off Externe","application déployée","Chef de projet","date Formation Accès Externe","Nombres de lignes","date Pilote Usage Externe","date Vie de Solution","is archived"
"System U","EWOCS","En vie de solution","Actif ","","4377","","","","","","","","","","EWOCS","","","","","2017-04-13","True"
"Casino","EWOCS, EWOCS","En vie de solution","Terminé","2019-02-18","000513","","","","","","","","","2019-03-01","EWOCS, EWOCS","","",9900,"","2019-03-01","False"
"BNPP","EWOCS, EWOCS","En vie de solution","Terminé","","461","","","","","","","","","2018-01-08","EWOCS, EWOCS","","","","2018-02-05","2018-06-04","True"
"GFI","EWOCS","En vie de solution","Terminé","","856","","","","","","","","","2018-02-16","EWOCS","","","","2018-03-07","2018-04-17","False"
"Kering","EWOCS, EWOCS","En vie de solution","Actif ","","9950","","","","","","","","","","EWOCS, EWOCS","","","","2018-02-16","2018-06-20","True"
"FDJ","EWOCS, EWOCS","En vie de solution","Actif ","","000342","","","","","","","","","","EWOCS, EWOCS","","",200,"","2017-11-10","True"
"Air liquide","EWOCS","En vie de solution","Actif ","","478","","","","","","","","","","EWOCS","","","","2018-02-09","2018-05-03","True"
"ENGIE - GDF SUEZ OSM FTR","MWM, MWM","En vie de solution","Terminé","","4186","","","","","","","","","2017-05-10","MWM, MWM","","","","","2017-07-03","False"
"SAFRAN","EWOCS","En vie de solution","Actif ","","3477","","","","","","","","","","EWOCS","","","","","2017-09-01","True"
"ENEDIS","MWM, MWM","En vie de solution","Terminé","2019-10-24","009739","","2020-04-27","2020-05-04","2020-05-11","2020-05-18","Renouvellement","2020-08-25","2021-01-21","","MWM, MWM","Myriam Lekkal","",35601,"","","True"
"GRT GAZ","MWM, MWM","En vie de solution","Terminé","2019-11-05","008710","","2019-11-29","","2020-10-16","2020-10-21","","2020-10-30","2020-10-30","2020-12-02","MWM, MWM","Elise Meffo","2020-12-11",2657,"2020-12-14","2021-03-19","False"
"BNPP","EWOCS, EWOCS","En vie de solution","Terminé","2020-01-20","010934","","2020-01-27","","","","Renouvellement","","","2020-03-10","EWOCS, EWOCS","Zohra Abdelmalek","","","","2020-03-10","False"
"FACETCA","MWM, MWM","Pipe déploiement","Actif ","","","","","","","","","","","","MWM, MWM","Nathalie Marescot","","","","","True"
"FT UCIDF","MWM, MWM","","","","","","","","","","","","","","MWM, MWM","","","","","","True"
"M6","MWM","En vie de solution","Actif ","2020-11-24","010074","","2021-02-10","","2021-02-26","2021-03-08","","","2021-04-07","2021-05-05","MWM","Christine Cocrelle","2021-06-14",1252,"2021-06-16","2022-09-13","False"
"Lafarge","","","Actif ","","","","","","","","","","","","","","","","","","True"
"HOP","MWM, MWM","En vie de solution","Actif ","2020-03-02","010978","","2020-03-31","2020-04-13","2020-04-16","2020-04-24","","2020-05-05","2020-05-05","2020-05-20","MWM, MWM","Christine Dodero","2020-10-07",413,"2020-10-07","2020-12-02","False"
"AREVA/ORANO","MWM, MWM","En vie de solution","Terminé","2020-03-09","002777;011358","","2020-05-05","2020-05-06","2020-05-20","2020-06-01","","2020-09-01","2020-09-01","","MWM, MWM","Zohra Abdelmalek","2021-03-16","","2021-03-17","2022-01-27","False"
"AIRBUS","GLM AC","En vie de solution","Actif ","2020-05-18","009041; 011149","MWM","2020-05-15","","","","","","2020-05-15","2020-05-18","GLM AC","Christine Cocrelle","2020-06-03",7100,"2020-06-04","2022-05-12","False"
"ARIANE","GLM AC","En vie de solution","Actif ","2020-05-12","010235","Ewocs","2020-05-11","","","","","","2020-05-11","2020-05-12","GLM AC","Christine Cocrelle","2020-05-12","","2020-05-13","2022-05-25","False"
"Engie - Inéo /Suez_VDS","MWM, MWM","En vie de solution","Terminé","","","","","","","","","","","","MWM, MWM","Elise Meffo","","","","","False"
"SNCF","EWOCS, EWOCS","En vie de solution","Terminé","2020-01-15","","","","","","","Renouvellement","","","2020-02-03","EWOCS, EWOCS","","","","","2020-02-03","False"
"Les MOUSQUETAIRES","EWOCS, EWOCS","En vie de solution","Terminé","2020-02-03","","","2020-02-18","","","","","","","2020-03-02","EWOCS, EWOCS","","","","","2020-03-02","False"
"Bureau Véritas","MWM","","","","","","","","","","Renouvellement","","","","MWM","","",7000,"","","True"
"Veolia VRD","MWM, MWM","En vie de solution","Actif ","2019-03-19","002778","","2019-03-15","2019-03-22","2019-04-15","2019-05-02","","2019-11-20","2020-05-11","2020-06-24","MWM, MWM","Christine Dodero","2020-08-27",800,"2020-08-28","2021-10-28","False"
"SAFRAN","EWOCS","En vie de solution","","","003477","","2020-09-24","","","","Renouvellement","","","","EWOCS","Christine Cocrelle","",18309,"","","True"
"NOKIA","EWOCS, EWOCS","En vie de solution","Terminé","","","","2020-09-23","","","","Renouvellement","2020-11-03","","","EWOCS, EWOCS","SALAHUN YEHAN","2020-11-09","","","2020-12-01","True"
"Bureau veritas","MWM, MWM","En vie de solution","Actif ","2020-08-18","381","","2020-10-14","2020-10-14","2020-10-21","2020-10-21","","2020-10-21","2020-10-30","2020-11-17","MWM, MWM","Elise Meffo","2020-11-17",7145,"2020-11-18","2020-12-08","False"
"LAFARGE","MWM, MWM","","Terminé","","","","","","","","","","","","MWM, MWM","Hadrien Robin","","","","","True"
"Société Générale","MWM, MWM","En vie de solution","","2021-08-30","000439","","2021-09-27","2021-10-04","2021-10-07","2021-10-14","","2021-10-20","2021-10-21","","MWM, MWM","Emilie Martin","",9000,"","2021-11-25","False"
"Air Liquide","EWOCS","En vie de solution","Actif ","2020-11-13","000478","","2020-11-24","2020-11-30","","","","","","2020-12-02","EWOCS","Christine Dodero","",13140,"2020-12-02","2020-12-02","True"
"Filiales Groupama","MWM, MWM","Formation Accès Externe","Stand by","","7909","","","","","","","","","","MWM, MWM","Myriam Lekkal","","","","","True"
"SYSTEME U","EWOCS","En vie de solution","Actif ","2020-12-15","004377; 007936","","2020-12-16","2021-01-04","2021-01-04","2021-01-04","Avenant","","","2021-01-04","EWOCS","Christine Dodero","",7200,"2021-03-01","2021-10-28","False"
"LEROY MERLIN","MWM, MWM","En vie de solution","Actif ","2021-02-15","11261","","2021-03-08","2021-04-06","2021-04-12","2021-04-26","","2021-05-11","2021-05-11","2021-05-06","MWM, MWM","Christine Dodero","2021-05-20",1500,"2021-06-02","2021-09-01","False"
"VEOLIA SADE","MWM","En vie de solution","Actif ","2020-12-15","002778","","2021-01-04","2021-01-08","2021-01-12","2021-01-12","","2021-01-12","2021-01-12","2021-01-20","MWM","Christine Dodero","2021-02-17",1239,"2021-02-18","2021-07-01","False"
"Institut Pasteur","MWM, MWM","Pilote Usage Interne","Terminé","2021-03-04","8765","","2021-03-29","","2021-04-29","2021-05-11","","","2021-05-28","","MWM, MWM","Hadrien Robin","2021-07-27","","","","True"
"PUMA","","","Terminé","","011237","","2021-03-23","","","","Renouvellement","","","","","Christine Cocrelle","",150,"","","True"
"La POSTE","EWOCS","En vie de solution","Actif ","2020-06-15","001581; 004395; 004396; 004397; 004398; 004399; 007987; 008827; 009952;","","2020-07-03","2020-08-03","","","Renouvellement","","","2020-08-03","EWOCS","Christine Cocrelle","","","2020-08-03","2020-08-03","False"
"NESTLE","GLM AC, GLM AC","En vie de solution","","2021-07-07","001667","Ewocs","2021-08-30","2021-09-30","2021-10-07","2021-10-14","","2021-10-15","2021-10-22","2022-03-16","GLM AC, GLM AC","Elise Meffo","2022-05-06",3669,"2022-05-09","2022-06-30","False"
"BPCE","MWM, MWM","En vie de solution","Terminé","2021-04-07","011019","","2021-05-07","2021-05-12","2021-05-25","2021-06-03","Avenant","","2021-06-09","2021-04-21","MWM, MWM","Elise Meffo","2021-07-27",982,"2021-08-03","2022-02-07","False"
"WT SOLUTIONS","","","","","004186","","","","","","","","","","","","","","","","True"
"L'Oréal","MWM, MWM","En vie de solution","Terminé","2022-03-08","003411","Ewocs","2022-03-14","","2022-03-18","2022-03-21","Renouvellement","2022-03-22","2022-04-22","","MWM, MWM","Zohra Abdelmalek","2022-03-22",9900,"2022-04-25","2022-09-30","False"
"France Télévisions","MWM, MWM","En vie de solution","","2021-06-09","002607;010593","","2021-07-27","2021-07-28","2021-08-05","2021-08-12","","2021-09-13","2021-09-13","2021-09-16","MWM, MWM","Emilie Martin","",773,"2021-10-21","2021-11-25","False"
"WTS","MWM, MWM","Formation Accès Externe","Actif ","","","","","","","","","","","","MWM, MWM","Hadrien Robin","2021-07-08","","","","True"
"Altran","MWM, MWM","En vie de solution","","2021-09-02","000623","","2021-10-11","2021-10-19","2021-10-27","2021-11-05","","2021-11-12","2021-11-09","","MWM, MWM","Nadia Ouchene","2022-01-20","","2022-02-11","2022-04-27","False"
"UNIVERSITE DE LILLE","MWM, MWM","En vie de solution","","2021-08-06","011534","pas de portail existant","2021-09-03","2021-10-06","2021-10-13","2021-10-13","","","2021-10-14","2021-10-18","MWM, MWM","Sébastien Yacono","2021-12-10",871,"2021-12-13","2022-06-02","False"
"UNIVERSITE D'ARTOIS","MWM, MWM","En vie de solution","Terminé","","","pas de portail existant","","","","","","","","","MWM, MWM","Sébastien Yacono","",217,"","","True"
"Institut Pasteur","MWM","En vie de solution","Terminé","2021-03-04","8765","","2021-03-29","","2021-04-29","2021-05-11","","","2021-06-04","","MWM","Hadrien Robin","2021-07-22","","2021-07-27","2021-09-30","False"
"Orange Event","MWM, MWM","Set up CDP","ac","2021-09-20","011469","","2021-10-22","2021-11-03","2021-11-05","","","2021-11-23","","","MWM, MWM","Nadia Ouchene","","","","2021-11-05","True"
"RATP Siège","MWM, MWM","En vie de solution","","2021-09-24","011518","pas de portail existant","2021-10-15","2021-10-19","2021-10-20","2021-10-20","Renouvellement","","2021-10-21","2021-12-07","MWM, MWM","Sébastien Yacono","2022-01-31",301,"2022-02-07","2022-04-25","False"
"SRS Muliez","MWM, MWM","En vie de solution","","2021-10-20","011374","","2021-11-18","2021-11-18","2021-11-18","2021-11-18","","2022-01-05","2022-01-12","2022-03-03","MWM, MWM","Guigueno Sophie","2022-03-29",1930,"2022-03-30","2022-10-24","False"
"WORLDLINE","GLM AC, GLM AC","Pilote usage Externe","Stand by","2021-10-12","010813","MWM","","","","2022-01-12","","","2022-03-24","","GLM AC, GLM AC","Nadia Ouchene","2022-05-31",2175,"2022-06-01","","False"
"Harmonie mutuelle","MWM, MWM","En vie de solution","","2021-12-08","004090, 007381, 009233, 011184, 010706","","2021-12-17","2022-01-03","","2022-01-07","","","","","MWM, MWM","Emilie Martin","",1427,"","2022-02-04","False"
"OBS filiale","GLM AC, GLM AC","En vie de solution","Actif ","2021-12-10","005311","Ewocs","2021-12-16","2022-01-12","","2022-01-12","","2022-06-08","2022-06-09","2022-06-01","GLM AC, GLM AC","Guigueno Sophie","2022-06-08",9157,"2022-07-01","2022-12-09","False"
"Universal Music","MWM, MWM","En vie de solution","","2021-11-24","011560","","2021-12-06","2021-12-15","","","","","","","MWM, MWM","Ilham Chalal","","","","2022-02-01","False"
"Le Bon Marché ","GLM AC, GLM AC","En vie de solution","Actif ","2021-11-25","005797","Ewocs","2022-02-02","2022-02-02","2022-02-11","2022-02-11","","2021-12-06","2022-03-09","2022-04-26","GLM AC, GLM AC","Yehan Salahun","2022-04-26","","2022-04-26","2022-06-17","False"
"Arkema","GLM AC, GLM AC","En vie de solution","Actif ","2022-01-13","004177","Ewocs","2022-01-24","2022-01-24","2022-01-25","2022-01-25","","2022-02-01","2022-03-11","2022-04-14","GLM AC, GLM AC","Yehan Salahun","2022-04-14",2500,"2022-04-19","2022-12-02","False"
"Dassault Aviation","GLM AC","En vie de solution","","2022-01-13","003553;009764","Ewocs","2022-01-18","","","","","2022-03-15","2022-03-16","2022-04-06","GLM AC","Christine Cocrelle","2022-05-20",4480,"2022-06-07","2022-11-03","False"
"Ardian","GLM AC, GLM AC","En vie de solution","Actif ","2022-02-02","007897","","2022-02-09","2022-02-22","2022-02-22","2022-02-23","","2022-03-15","2022-03-17","2022-04-04","GLM AC, GLM AC","Sébastien Yacono","2022-05-12",562,"2022-05-16","2022-11-18","False"
"MATMUT","GLM AC","En vie de solution","","2022-10-07","010671","Ewocs","2022-10-28","","","2022-11-16","","","2022-11-29","","GLM AC","Emilie Martin","2022-12-09",1250,"2022-12-16","2023-02-10","False"
"GALDERMA","GLM AC, GLM AC","En vie de solution","Actif ","2022-03-03","011637","","2022-04-13","","","2022-04-14","","","2022-05-05","","GLM AC, GLM AC","Nadia Ouchene","2022-06-02",225,"2022-06-03","2022-08-10","False"
"AXA","GLM AC, GLM AC","En vie de solution","","2022-04-29","007373;005423","Ewocs","2022-05-06","2022-05-06","2022-05-06","2022-05-09","","2022-05-09","2022-05-20","2022-06-02","GLM AC, GLM AC","Yehan Salahun","2022-06-10",9000,"2022-06-20","2022-12-02","False"
"Astel G","","En vie de solution","","","010294","","","","","","","","","","","","","","","","True"
"EURO INFORMATION","","En vie de solution","","","116","Ewocs","","","","","","","","","","","","","","","True"
"MSI","","En vie de solution","","","10293","Ewocs","","","","","","","","","","","","","","","True"
"ICADE","GLM AC, GLM AC","En vie de solution","Actif ","2022-04-13","009895","MWM","2022-05-03","2022-05-03","2022-05-03","2022-05-10","","2022-04-13","2022-06-02","","GLM AC, GLM AC","Zohra Abdelmalek","2022-05-19",1345,"2022-08-31","2023-01-20","False"
"ELIOR","GLM AC","En vie de solution","Actif ","","005865","","2022-09-20","","","","","2022-10-19","2022-11-17","","GLM AC","Emilie Martin","2022-12-12",603,"","2023-01-30","False"
"COFELY","MWM","En vie de solution","","2022-04-05","04186","pas de portail existant","2022-04-05","2022-04-05","","","","2022-04-07","2022-04-14","2022-04-14","MWM","Yehan Salahun","2022-04-14",21400,"2022-05-12","2022-09-09","False"
"MOET HENNESSY","GLM AC, GLM AC","En vie de solution","Actif ","2022-06-01","5797","Ewocs","2022-06-02","2022-06-03","","2022-06-03","","2022-06-03","2022-06-03","2022-06-03","GLM AC, GLM AC","Yehan Salahun","2022-06-17",401,"2022-06-20","2022-09-22","False"
"VALLOUREC","GLM AC","En vie de solution","Actif ","2022-04-13","000656","","2022-05-20","2022-05-20","2022-05-20","2022-05-24","","2022-04-13","2022-06-02","","GLM AC","Zohra Abdelmalek","2022-06-07",1042,"2022-07-07","2022-09-26","False"
"Orange Event","GLM AC","En vie de solution","Actif ","2022-06-28","011469","","2022-06-29","2022-07-06","","2022-07-06","","2022-07-07","2022-07-08","","GLM AC","Nadia Ouchene","","","2022-09-28","2023-01-16","False"
"KYNDRYL","GLM AC, GLM AC","Modelisation","Actif ","2022-07-04","011803","","","","","","","","","","GLM AC, GLM AC","Nadia Ouchene","","","","","False"
"HOP","GLM AC","En vie de solution","Actif ","2022-07-01","010978","MWM","2022-07-08","","","","","","2022-08-03","","GLM AC","Emilie Martin","2022-12-07",512,"2022-12-14","2023-02-09","False"
"STELLANTIS","GLM AC","En vie de solution","Actif ","2022-07-08","009169","Ewocs","2022-07-22","2022-07-22","","2022-07-22","","2022-07-12","2022-10-12","2022-10-20","GLM AC","Brice MOTHAY","2022-11-08",13755,"2022-11-09","2022-12-13","False"
"BPCE","MWM, MWM","Set up CDP","","2022-07-05","011019, 011955","MWM","2022-11-17","2023-01-12","","","","","","2022-09-21","MWM, MWM","Elise Meffo","","","","","False"
"ENEDIS","GLM AC","En vie de solution","Actif ","2022-07-19","009739","MWM","","","","","","","","","GLM AC","Guigueno Sophie","","","","2022-12-20","False"
"Airbus","MWM","En vie de solution","","","9041;11149","","","","","","","","","","MWM","","","","","","True"
"Securitas","GLM AC, GLM AC","Pilote usage Externe","Actif ","2022-09-05","000303","MWM","2022-09-12","2022-09-12","2022-09-13","2022-09-15","","2022-10-19","2022-10-27","2022-10-19","GLM AC, GLM AC","Sébastien Yacono","2022-11-18",8000,"2022-12-01","","False"
"Mutuelle Générale","GLM AC","En vie de solution","Actif ","2022-09-08","001425","MWM","2022-09-13","2022-09-19","","2022-09-14","","2022-09-30","2022-10-03","2022-10-11","GLM AC","Christine Cocrelle","2022-11-15",800,"2022-11-17","2023-02-14","False"
"ATOS","GLM AC, GLM AC","En vie de solution","Actif ","2022-10-07","010812","MWM","2022-10-14","2022-10-14","","2022-10-14","","2022-10-19","2022-11-07","","GLM AC, GLM AC","Brice MOTHAY","2022-11-28",5898,"2022-11-29","2023-01-17","False"
"Filiales EDF","GLM AC, GLM AC","Pilote usage Externe","Actif ","2022-10-20","009754","Ewocs","","2022-10-28","","2022-10-28","","2022-11-23","2022-12-20","2022-11-22","GLM AC, GLM AC","Sébastien Yacono","2023-01-11",13000,"2023-01-16","","False"
"SONEPAR","GLM AC","En vie de solution","Terminé","2022-11-17","010423","MWM","","2022-11-24","","2022-11-25","","2022-12-15","2022-12-22","","GLM AC","Nadia Ouchene","2023-01-06",2822,"2023-01-09","2023-02-13","False"
"LVMH","GLM AC, GLM AC","Pilote usage Externe","Actif ","2021-11-25","005797","Ewocs","2022-02-02","","2022-02-11","","","","2022-10-10","2022-10-20","GLM AC, GLM AC","Yehan Salahun","2022-10-27",27000,"2022-11-04","","False"
"Renault","GLM AC, GLM AC","Pilote usage Externe","","2022-11-18","010499","MWM","2022-11-22","2022-11-25","","2022-12-08","","2022-12-12","2023-01-12","2022-12-21","GLM AC, GLM AC","Sébastien Yacono","2023-01-13",8839,"2023-01-16","","False"
"CLUB MED","GLM AC","Pipe déploiement","","","001434","Ewocs","","","","","","","","","GLM AC","Nadia Ouchene","",1315,"","","False"
"INDIGO","GLM AC","Formation Accès Interne","","2023-01-27","009278","MWM","","2023-02-10","","2023-02-10","","2023-02-16","2023-02-16","","GLM AC","Nadia Ouchene","",1532,"","","False"
"Dassault Falcon","GLM AC","Pilote usage Externe","","2022-11-04","009764","Ewocs","2022-11-07","2022-11-10","","2022-11-10","","2022-11-02","2022-11-23","2022-12-28","GLM AC","Christine Cocrelle","2023-01-11",165,"2023-01-18","","False"
"NAVAL GROUP","GLM AC, GLM AC","Formation Accès Externe","","2023-01-30","010701","MWM","2023-01-06","","","2023-01-06","","","","2023-01-30","GLM AC, GLM AC","Brice MOTHAY","2023-03-07",15968,"2023-03-10","","False"
"KERING","GLM AC, GLM AC","Pilote usage Externe","","2022-12-01","009950","Ewocs","2022-12-21","","","2022-12-21","","2023-01-12","2023-01-19","2023-01-26","GLM AC, GLM AC","Brice MOTHAY","",5142,"","","False"
"SPIE","GLM AC","Formation Accès Externe","","2022-11-25","000542","MWM","2022-12-07","2022-12-07","","2022-12-09","","2023-01-05","2023-01-11","2022-12-12","GLM AC","Elise Meffo","","","","","False"
"COVEA","GLM AC, MWM","Kick off Externe","Actif ","2023-01-06","008814","Ewocs","2023-01-12","2023-01-12","","2023-01-20","","2023-01-25","2023-01-30","2023-02-02","GLM AC, MWM","eon isabelle","2023-02-14",461,"2023-02-27","","False"
"KINGFISHER","GLM AC, MWM","Pilote Usage Interne","Actif ","2023-01-09","001211;007837","Ewocs","2023-01-17","2023-01-17","","2023-01-17","","2023-02-01","2023-02-27","2023-02-22","GLM AC, MWM","eon isabelle","2023-02-27",2436,"","","False"
"HERTA","GLM AC","kick off Interne","","","011995","","","","","","","","","","GLM AC","Elise Meffo","","","","","False"
"FIDAL","GLM AC, GLM AC","Pipe déploiement","Actif ","2023-01-06","000511","pas de portail existant","","","","","","","","","GLM AC, GLM AC","eon isabelle","",1170,"","","False"
"LECLERC","GLM AC, GLM AC","Set up EWOCS","","2023-01-18","009808","pas de portail existant","2023-01-23","2023-02-08","","2023-02-13","","2023-02-20","2023-02-22","2023-03-08","GLM AC, GLM AC","eon isabelle","",6882,"","","False"
"CASINO","GLM AC, EWOCS","Pilote Usage Interne","","2023-01-09","000513","Ewocs","","2023-01-24","","2023-01-24","","","2023-02-01","2023-02-14","GLM AC, EWOCS","Nadia Ouchene","",10400,"","","False"
"ACCENTURE","GLM AC","Pilote Usage Interne","","2023-01-06","001129","MWM","2023-01-10","2023-01-10","","2023-01-11","","2023-01-31","2023-02-01","2023-01-17","GLM AC","Christine Cocrelle","","","","","False"
"SYSTEME U","GLM AC, GLM AC","Formation Accès Interne","","2023-02-03","004377;007936","Ewocs","2023-02-10","","","2023-02-13","","2023-02-28","2023-03-06","","GLM AC, GLM AC","Brice MOTHAY","",5650,"","","False"
"SUEZ","A définir, MWM","Pipe déploiement","Actif ","","","MWM","","","","","","","","","A définir, MWM","Elise Meffo","","","","","False"
"MTIO ","GLM AC, MWM","Formation Accès Externe","Actif ","2023-02-07","10670;10671","Ewocs","","","","","","","","","GLM AC, MWM","Emilie Martin","","","","","False"
"STORM","GLM AC","Modelisation","Actif ","2023-01-30","012060","Ewocs","2023-02-09","","","","","","","","GLM AC","Yehan Salahun","",900,"","","False"
"OPACHE6","EWOCS, EWOCS","Modelisation","Actif ","2023-01-30","12062, 12063,12064,12065,12066,12067,12068,12069,12070,12071,12072,12073,12074,12075","Ewocs","2023-02-22","","","","","","","","EWOCS, EWOCS","Yehan Salahun","",325000,"","","False"
"PwC","GLM AC, GLM AC","kick off Interne","","2023-03-03","","pas de portail existant","","","","","","","","","GLM AC, GLM AC","Brice MOTHAY","",5000,"","","False"
"Lagardère","GLM AC, GLM AC","Pipe déploiement","Actif ","","005067","MWM","","","","","","","","","GLM AC, GLM AC","Emilie Martin","",2479,"","","False"
"M6","","kick off Interne","","","","","","","","","","","","","","","","","","","True"
"M6","","kick off Interne","","","","","","","","","","","","","","","","","","","True"
"M6","","","","","","","","","","","","","","","","","","","","","False"
"M6","MWM","Pipe déploiement","","","","","","","","","","","","","MWM","","","","","","True"
"M6","GLM AC, MWM","kick off Interne","","2023-02-23","","MWM","","","","","","","","","GLM AC, MWM","Christine Cocrelle","","","","","False"
